Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET,Year,Month,Timestamp
1,0,0,0,0,1.5,69.08,-12,0.0,2016,1,2016-01-01 00:00:00
1,0,30,0,0,1.5,69.06,-12,0.0,2016,1,2016-01-01 00:30:00
1,1,0,0,0,1.6,71.78,-12,0.0,2016,1,2016-01-01 01:00:00
1,1,30,0,0,1.6,71.75,-12,0.0,2016,1,2016-01-01 01:30:00
1,2,0,0,0,1.6,75.2,-12,0.0,2016,1,2016-01-01 02:00:00
1,2,30,0,0,1.5,69.29,-11,0.0,2016,1,2016-01-01 02:30:00
1,3,0,0,0,1.5,72.56,-11,0.0,2016,1,2016-01-01 03:00:00
1,3,30,0,0,1.4,72.55,-11,0.0,2016,1,2016-01-01 03:30:00
1,4,0,0,0,1.3,74.62,-11,0.0,2016,1,2016-01-01 04:00:00
1,4,30,0,0,1.3,74.61,-11,0.0,2016,1,2016-01-01 04:30:00
1,5,0,0,0,1.3,73.74,-11,0.0,2016,1,2016-01-01 05:00:00
1,5,30,0,0,1.3,73.73,-11,0.0,2016,1,2016-01-01 05:30:00
1,6,0,0,0,1.4,72.22,-12,0.0,2016,1,2016-01-01 06:00:00
1,6,30,0,0,1.4,72.22,-12,0.0,2016,1,2016-01-01 06:30:00
1,7,0,0,0,1.4,70.27,-12,0.0,2016,1,2016-01-01 07:00:00
1,7,30,0,0,1.6,64.83,-10,0.0,2016,1,2016-01-01 07:30:00
1,8,0,29,494,1.8,65.45,-9,7.039286991,2016,1,2016-01-01 08:00:00
1,8,30,61,7,1.9,55.9,-7,5.912871119,2016,1,2016-01-01 08:30:00
1,9,0,58,743,2.1,57.39,-6,22.33726765,2016,1,2016-01-01 09:00:00
1,9,30,67,811,1.9,53.15,-4,29.46952894,2016,1,2016-01-01 09:30:00
1,10,0,138,368,1.8,55.99,-3,25.33976234,2016,1,2016-01-01 10:00:00
1,10,30,178,224,1.9,55.97,-3,25.1520604,2016,1,2016-01-01 10:30:00
1,11,0,193,261,2.0,58.43,-3,28.71839732,2016,1,2016-01-01 11:00:00
1,11,30,189,364,2.3,58.41,-3,33.12939298,2016,1,2016-01-01 11:30:00
1,12,0,190,37,2.6,59.19,-3,19.42715113,2016,1,2016-01-01 12:00:00
1,12,30,213,133,2.9,59.18,-3,25.71516623,2016,1,2016-01-01 12:30:00
1,13,0,211,114,3.2,63.27,-4,24.58922479,2016,1,2016-01-01 13:00:00
1,13,30,185,101,3.1,63.27,-4,21.30440468,2016,1,2016-01-01 13:30:00
1,14,0,124,2,3.0,62.84,-4,11.73150038,2016,1,2016-01-01 14:00:00
1,14,30,135,69,2.7,62.85,-4,14.73476447,2016,1,2016-01-01 14:30:00
1,15,0,62,0,2.5,68.55,-5,5.8188881310000005,2016,1,2016-01-01 15:00:00
1,15,30,73,39,2.2,68.55,-5,7.6020957839999985,2016,1,2016-01-01 15:30:00
1,16,0,41,11,2.0,70.27,-6,4.035724827,2016,1,2016-01-01 16:00:00
1,16,30,10,0,2.0,70.28,-6,0.938540658,2016,1,2016-01-01 16:30:00
1,17,0,0,0,2.0,71.33,-7,0.0,2016,1,2016-01-01 17:00:00
1,17,30,0,0,2.0,71.35,-7,0.0,2016,1,2016-01-01 17:30:00
1,18,0,0,0,2.1,76.43,-8,0.0,2016,1,2016-01-01 18:00:00
1,18,30,0,0,2.2,76.44,-8,0.0,2016,1,2016-01-01 18:30:00
1,19,0,0,0,2.3,76.72,-8,0.0,2016,1,2016-01-01 19:00:00
1,19,30,0,0,2.2,76.72,-8,0.0,2016,1,2016-01-01 19:30:00
1,20,0,0,0,2.2,77.51,-8,0.0,2016,1,2016-01-01 20:00:00
1,20,30,0,0,2.0,77.51,-8,0.0,2016,1,2016-01-01 20:30:00
1,21,0,0,0,1.9,83.46,-9,0.0,2016,1,2016-01-01 21:00:00
1,21,30,0,0,1.8,83.46,-9,0.0,2016,1,2016-01-01 21:30:00
1,22,0,0,0,1.8,83.36,-9,0.0,2016,1,2016-01-01 22:00:00
1,22,30,0,0,1.7,83.36,-9,0.0,2016,1,2016-01-01 22:30:00
1,23,0,0,0,1.7,90.86,-10,0.0,2016,1,2016-01-01 23:00:00
1,23,30,0,0,1.6,90.85,-10,0.0,2016,1,2016-01-01 23:30:00
2,0,0,0,0,1.6,90.66,-10,0.0,2016,1,2016-01-02 00:00:00
2,0,30,0,0,1.6,90.68,-10,0.0,2016,1,2016-01-02 00:30:00
2,1,0,0,0,1.6,88.11,-11,0.0,2016,1,2016-01-02 01:00:00
2,1,30,0,0,1.6,88.11,-11,0.0,2016,1,2016-01-02 01:30:00
2,2,0,0,0,1.6,90.85,-11,0.0,2016,1,2016-01-02 02:00:00
2,2,30,0,0,1.6,90.84,-11,0.0,2016,1,2016-01-02 02:30:00
2,3,0,0,0,1.7,93.78,-12,0.0,2016,1,2016-01-02 03:00:00
2,3,30,0,0,1.7,93.77,-12,0.0,2016,1,2016-01-02 03:30:00
2,4,0,0,0,1.7,90.46,-12,0.0,2016,1,2016-01-02 04:00:00
2,4,30,0,0,1.6,90.46,-12,0.0,2016,1,2016-01-02 04:30:00
2,5,0,0,0,1.6,87.34,-12,0.0,2016,1,2016-01-02 05:00:00
2,5,30,0,0,1.6,87.34,-12,0.0,2016,1,2016-01-02 05:30:00
2,6,0,0,0,1.7,84.96,-12,0.0,2016,1,2016-01-02 06:00:00
2,6,30,0,0,1.7,84.96,-12,0.0,2016,1,2016-01-02 06:30:00
2,7,0,0,0,1.8,83.2,-12,0.0,2016,1,2016-01-02 07:00:00
2,7,30,0,0,2.0,70.75,-10,0.0,2016,1,2016-01-02 07:30:00
2,8,0,27,519,2.3,73.26,-9,7.1331441510000015,2016,1,2016-01-02 08:00:00
2,8,30,41,690,2.8,57.87,-6,14.92279645,2016,1,2016-01-02 08:30:00
2,9,0,49,799,3.3,66.23,-4,22.80603673,2016,1,2016-01-02 09:00:00
2,9,30,23,0,3.0,56.92,-2,2.158548626,2016,1,2016-01-02 09:30:00
2,10,0,60,910,2.7,57.91,-1,36.22567883,2016,1,2016-01-02 10:00:00
2,10,30,64,938,2.4,53.78,0,41.38691398,2016,1,2016-01-02 10:30:00
2,11,0,66,961,2.1,59.87,0,45.14082908,2016,1,2016-01-02 11:00:00
2,11,30,67,972,1.9,55.63,0,47.58087389,2016,1,2016-01-02 11:30:00
2,12,0,67,980,1.7,58.88,1,48.61266629,2016,1,2016-01-02 12:00:00
2,12,30,66,978,1.5,58.86,1,48.14343206,2016,1,2016-01-02 12:30:00
2,13,0,64,972,1.4,60.68,2,46.17214086,2016,1,2016-01-02 13:00:00
2,13,30,62,958,1.2,60.66,1,42.79416183,2016,1,2016-01-02 13:30:00
2,14,0,57,936,1.2,61.34,1,38.19566637,2016,1,2016-01-02 14:00:00
2,14,30,53,902,0.9,61.33,0,32.28366986,2016,1,2016-01-02 14:30:00
2,15,0,46,852,0.6,72.29,0,25.4327748,2016,1,2016-01-02 15:00:00
2,15,30,39,772,0.5,77.79,-1,17.73744378,2016,1,2016-01-02 15:30:00
2,16,0,28,641,0.5,68.91,-2,9.854243726,2016,1,2016-01-02 16:00:00
2,16,30,14,389,0.4,74.29,-3,2.627827206,2016,1,2016-01-02 16:30:00
2,17,0,0,0,0.4,67.81,-4,0.0,2016,1,2016-01-02 17:00:00
2,17,30,0,0,0.8,73.2,-5,0.0,2016,1,2016-01-02 17:30:00
2,18,0,0,0,1.3,73.62,-6,0.0,2016,1,2016-01-02 18:00:00
2,18,30,0,0,1.5,73.6,-6,0.0,2016,1,2016-01-02 18:30:00
2,19,0,0,0,1.8,74.97,-7,0.0,2016,1,2016-01-02 19:00:00
2,19,30,0,0,2.0,74.95,-7,0.0,2016,1,2016-01-02 19:30:00
2,20,0,0,0,2.2,71.27,-8,0.0,2016,1,2016-01-02 20:00:00
2,20,30,0,0,2.2,71.26,-8,0.0,2016,1,2016-01-02 20:30:00
2,21,0,0,0,2.2,74.5,-8,0.0,2016,1,2016-01-02 21:00:00
2,21,30,0,0,2.2,74.5,-8,0.0,2016,1,2016-01-02 21:30:00
2,22,0,0,0,2.2,72.83,-8,0.0,2016,1,2016-01-02 22:00:00
2,22,30,0,0,2.2,72.82,-8,0.0,2016,1,2016-01-02 22:30:00
2,23,0,0,0,2.2,72.51,-8,0.0,2016,1,2016-01-02 23:00:00
2,23,30,0,0,2.2,72.49,-8,0.0,2016,1,2016-01-02 23:30:00
3,0,0,0,0,2.2,73.8,-8,0.0,2016,1,2016-01-03 00:00:00
3,0,30,0,0,2.1,68.2,-8,0.0,2016,1,2016-01-03 00:30:00
3,1,0,0,0,2.1,69.06,-8,0.0,2016,1,2016-01-03 01:00:00
3,1,30,0,0,2.1,69.04,-8,0.0,2016,1,2016-01-03 01:30:00
3,2,0,0,0,2.2,69.38,-8,0.0,2016,1,2016-01-03 02:00:00
3,2,30,0,0,2.2,69.36,-7,0.0,2016,1,2016-01-03 02:30:00
3,3,0,0,0,2.2,70.03,-7,0.0,2016,1,2016-01-03 03:00:00
3,3,30,0,0,2.2,70.02,-7,0.0,2016,1,2016-01-03 03:30:00
3,4,0,0,0,2.3,72.18,-7,0.0,2016,1,2016-01-03 04:00:00
3,4,30,0,0,2.4,66.78,-7,0.0,2016,1,2016-01-03 04:30:00
3,5,0,0,0,2.5,68.32,-7,0.0,2016,1,2016-01-03 05:00:00
3,5,30,0,0,2.5,68.32,-7,0.0,2016,1,2016-01-03 05:30:00
3,6,0,0,0,2.6,69.68,-7,0.0,2016,1,2016-01-03 06:00:00
3,6,30,0,0,2.6,69.69,-6,0.0,2016,1,2016-01-03 06:30:00
3,7,0,0,0,2.6,74.08,-6,0.0,2016,1,2016-01-03 07:00:00
3,7,30,0,0,2.4,63.54,-4,0.0,2016,1,2016-01-03 07:30:00
3,8,0,8,0,2.2,72.05,-3,0.750807773,2016,1,2016-01-03 08:00:00
