회사명,종목코드,상장(예정)일,상장방식,발행주식수,액면가,발행사유
서울식품공업,004410,2021-01-13,추가상장,"4,545,454",100,국내CB전환
대원,007680,2021-01-13,추가상장,"11,171",500,국내사모 전환사채 전환
엠벤처투자,019590,2021-01-13,추가상장,"227,014",500,국내사모 전환사채 전환
클라우드에어,036170,2021-01-13,변경상장,0,"1,000",상호변경
라이트론,069540,2021-01-13,추가상장,"3,088,800",500,국내사모 신주인수권부사채 신주인수권 행사
크리스탈지노믹스,083790,2021-01-13,추가상장,"199,101",500,국내사모 전환사채 전환
크리스탈지노믹스,083790,2021-01-13,추가상장,"30,846",500,국내사모 신주인수권부사채 신주인수권 행사
아이티엠반도체,084850,2021-01-13,추가상장,"2,000",500,주식매수선택권행사
펩트론,087010,2021-01-13,추가상장,"5,300,353",500,유상증자(구주주배정)
에이티세미콘,089530,2021-01-13,추가상장,"140,000",500,국내사모 전환사채 전환
미래나노텍,095500,2021-01-13,추가상장,"843,232",500,국내사모 전환사채 전환
알파홀딩스,117670,2021-01-13,추가상장,"11,695",500,국내사모 전환사채 전환
애드바이오텍,179530,2021-01-13,추가상장,"780,603",500,우선주의 보통주전환
엔케이맥스,182400,2021-01-13,추가상장,"80,340",500,국내사모 전환사채 전환
엔지스테크널러지,208860,2021-01-13,추가상장,"94,094",500,국내사모 전환사채 전환
메드팩토,235980,2021-01-13,추가상장,500,500,주식매수선택권행사
에브리봇,270660,2021-01-13,추가상장,"111,040",500,우선주의 보통주전환
에브리봇,270660,2021-01-13,추가상장,"13,880",500,우선주의 보통주전환
에브리봇,270660,2021-01-13,추가상장,"58,806",500,우선주의 보통주전환
라이프사이언스테크놀로지,285770,2021-01-13,추가상장,"352,380",500,우선주의 보통주전환
삼화페인트공업,000390,2021-01-12,추가상장,"375,986",500,국내CB전환
엔케이물산,009810,2021-01-12,추가상장,"37,650,000",100,유상증자(구주주배정)
웰바이오텍,010600,2021-01-12,추가상장,"231,160",500,국내CB전환
하이트론씨스템즈,019490,2021-01-12,추가상장,"236,806","2,500",국내CB전환
미래산업,025560,2021-01-12,추가상장,"1,798,561",100,유상증자(제3자배정)
에이치엘비,028300,2021-01-12,추가상장,442,500,국내사모 전환사채 전환
위지트,036090,2021-01-12,추가상장,"4,420,218",500,유상증자(제3자배정)
파워넷,037030,2021-01-12,추가상장,"256,912","1,000",국내사모 전환사채 전환
오스코텍,039200,2021-01-12,추가상장,"276,381",500,국내사모 전환사채 전환
경남바이오파마,044480,2021-01-12,추가상장,"187,675",500,국내사모 전환사채 전환
경남바이오파마,044480,2021-01-12,추가상장,"1,581,918",500,국내사모 전환사채 전환
경남바이오파마,044480,2021-01-12,추가상장,"1,431,260",500,국내사모 전환사채 전환
